= , Grafo #, Algoritmo, Centros, Raio, Tempo (ms), Calculador
( , 1,MST V1,[97|67|11|32|95],187,34,Leo
5 , 2,MST V1,[70|4|8|80|72|74|59|66|93|44],119,14,Leo
7 , 3,MST V1,[50|84|95|76|16|25|37|98|65|86],123,11,Leo
Q , 4,MST V1,[95|39|4|6|9|11|23|80|25|88|28|63|34|41|87|52|61|78|82|92],93,10,Leo
u , 5,MST V1,[0|93|3|4|6|8|50|18|11|12|71|40|20|22|24|25|27|31|74|53|36|37|42|48|52|57|69|79|81|83|84|94|97],51,9,Leo
  , 6,MST V1,[110|125|52|15|113],103,143,Leo
< , 7,MST V1,[143|9|162|179|48|172|182|52|41|103],90,112,Leo
\ , 8,MST V1,[0|128|69|160|188|158|9|64|12|20|190|175|98|34|38|125|45|198|182|193],75,77,Leo
� , 9,MST V1,[0|17|75|48|108|177|64|18|89|28|20|22|24|113|85|31|133|35|36|38|40|49|128|53|54|57|60|68|79|157|171|87|91|142|165|175|180|191|196|199],46,55,Leo
� , 10,MST V1,[0|58|2|120|4|151|60|150|84|10|82|86|14|16|18|190|79|140|30|32|35|111|176|41|42|43|44|171|47|48|49|50|63|64|67|68|71|74|80|89|96|97|99|100|105|113|116|122|123|124|127|136|134|143|144|145|147|155|158|165|167|179|182|183|191|192|198],21,73,Leo
- , 11,MST V1,[162|145|39|117|223],68,538,Leo
= , 12,MST V1,[32|206|27|234|82|190|88|94|236|299],69,300,Leo
� , 13,MST V1,[1|183|17|46|37|222|118|26|270|61|278|97|292|162|44|73|186|70|112|245|84|107|130|91|283|105|124|189|201|243],48,211,Leo
� , 14,MST V1,[0|15|129|52|284|101|6|153|237|291|11|275|262|111|56|21|22|264|174|73|193|65|195|35|125|278|122|44|90|51|252|59|60|269|207|69|70|250|227|93|170|106|110|192|114|120|121|145|136|137|139|149|175|204|208|258|282|289|293|298],31,172,Leo
� , 15,MST V1,[0|3|4|5|206|74|9|10|57|16|17|80|123|21|286|23|139|271|26|165|28|31|48|213|35|36|37|204|43|44|45|269|49|50|132|61|56|253|168|65|212|68|91|72|76|78|175|82|245|86|158|98|99|103|104|105|254|203|120|256|125|293|131|134|287|137|140|141|148|156|157|159|160|163|167|298|176|177|178|198|184|188|191|194|201|208|210|214|275|219|220|227|235|240|242|243|247|273|289|295],19,163,Leo
. , 16,MST V1,[143|200|29|133|288],68,1407,Leo
A , 17,MST V1,[154|115|147|316|119|132|265|45|103|399],58,770,Leo
� , 18,MST V1,[359|32|215|84|230|120|269|323|228|241|19|111|57|308|248|389|336|306|190|61|352|88|96|87|76|226|85|98|322|300|135|165|194|387|225|244|337|374|391|399],38,425,Leo
> , 19,MST V1,[35|136|28|222|4|46|39|173|247|99|12|13|79|324|19|326|374|25|26|27|31|51|186|120|211|251|38|372|41|48|49|124|272|295|176|59|160|66|70|72|82|75|110|85|183|262|90|359|230|106|107|128|305|133|135|137|310|206|151|154|156|175|351|185|187|191|196|202|205|219|234|337|241|277|265|292|327|342|345|399],21,380,Leo
    , 20,MST V1,[18|242|330|221|364|333|335|7|25|122|120|70|13|14|179|214|43|392|21|34|160|203|28|198|304|383|33|36|151|395|39|292|185|291|126|391|251|85|55|60|61|63|64|172|287|356|69|181|72|372|74|75|76|77|78|79|227|82|169|86|88|89|90|91|183|97|99|100|101|165|103|104|106|108|111|397|121|124|146|148|136|137|357|162|158|167|173|316|178|182|341|230|191|193|331|195|199|205|212|226|232|238|239|243|246|252|262|263|264|265|270|271|273|275|282|290|297|298|300|320|328|332|337|338|342|347|355|363|366|370|373|389|399],14,347,Leo
/ , 21,MST V1,[124|422|489|276|383],52,2505,Leo
A , 22,MST V1,[380|486|444|243|60|108|352|316|94|460],50,2222,Leo
� , 23,MST V1,[59|135|317|141|301|78|483|387|9|214|383|405|251|163|425|176|27|475|29|471|35|164|40|124|49|92|179|380|493|340|302|419|386|80|356|306|401|341|276|165|182|186|349|415|206|266|422|311|332|346],30,748,Leo
� , 24,MST V1,[144|132|202|3|6|217|199|272|72|10|164|159|194|314|490|41|317|155|54|412|389|234|392|29|31|32|34|36|114|294|40|44|45|168|436|51|52|281|60|363|338|165|64|94|336|324|150|197|477|249|289|468|362|322|240|120|128|133|134|291|147|297|156|172|185|195|493|200|203|206|421|219|228|246|247|248|253|259|266|268|343|400|369|299|312|330|351|411|358|367|377|385|391|393|435|418|423|481|496|499],18,679,Leo
� , 25,MST V1,[181|1|361|216|32|129|409|73|8|9|10|11|231|13|395|251|17|18|392|289|297|26|426|360|29|237|31|489|390|130|37|137|336|312|158|43|331|438|329|49|50|133|311|53|55|191|352|84|63|60|391|65|66|67|70|363|75|76|78|79|264|81|82|487|221|91|96|99|101|104|105|106|196|412|114|115|116|118|313|122|123|124|127|186|138|139|142|332|326|146|147|149|151|152|159|161|166|168|172|177|180|182|254|230|194|380|483|200|203|369|211|220|224|227|232|239|240|248|337|258|259|261|265|266|368|276|277|280|284|294|296|298|301|323|308|309|319|325|341|355|362|364|365|366|367|382|384|393|394|416|419|421|422|424|439|445|450|451|452|457|460|463|475|481|494|497|499],13,669,Leo
. , 26,MST V1,[418|224|468|86|463],46,5102,Leo
B , 27,MST V1,[179|191|364|103|15|160|122|521|414|547],44,2702,Leo
 , 28,MST V1,[0|578|379|81|240|115|165|502|134|10|144|113|534|160|173|393|26|48|443|498|465|93|431|343|35|568|261|197|288|62|49|164|366|255|186|326|329|102|217|199|116|425|525|140|331|147|208|170|254|246|367|373|407|412|462|466|510|594|528|599],23,1261,Leo
 , 29,MST V1,[502|76|2|295|91|548|422|428|80|10|141|216|376|14|156|474|17|318|453|211|105|379|114|120|29|30|31|32|445|52|196|526|158|487|44|313|511|166|411|194|51|74|54|456|525|68|294|63|70|128|124|556|78|79|82|230|585|489|192|366|107|522|110|298|113|117|513|503|133|496|147|225|471|152|174|175|501|181|304|208|260|214|555|276|244|367|255|257|434|263|267|274|281|288|296|338|308|325|552|349|358|359|364|383|388|409|412|425|430|450|463|472|518|531|562|566|576|581|597|599],16,1137,Leo
  , 30,MST V1,[518|283|136|438|4|195|6|354|8|521|565|470|15|138|18|226|20|183|23|334|55|217|222|543|31|32|490|398|509|89|468|41|196|307|221|439|50|51|53|193|561|571|497|276|192|444|66|512|503|69|530|144|74|427|81|79|483|282|337|92|93|95|96|359|102|130|106|107|108|110|111|115|120|345|423|172|129|176|135|137|142|146|149|564|562|152|153|154|234|156|264|159|160|162|164|165|166|167|171|174|502|177|178|179|181|182|185|186|597|189|191|194|198|430|204|205|206|207|208|213|214|215|343|224|228|230|235|238|573|242|244|248|251|253|254|255|260|262|388|267|271|279|286|290|291|484|303|304|305|315|317|319|324|330|333|532|348|346|450|357|531|369|372|373|379|385|390|393|395|397|400|403|405|406|409|413|419|420|442|455|457|458|459|478|506|507|510|511|514|522|539|544|547|553|558|579|582|589|595|599],10,1233,Leo
. , 31,MST V1,[50|348|471|245|266],38,6278,Leo
A , 32,MST V1,[295|101|349|392|87|159|663|81|457|699],37,4213,Leo
* , 33,MST V1,[0|439|529|276|461|603|571|116|181|30|269|102|283|105|331|122|351|23|79|190|201|504|466|247|580|417|307|217|106|69|54|536|57|125|191|618|164|538|516|399|436|193|91|124|136|622|253|552|250|324|138|297|321|402|179|464|212|322|229|267|420|286|292|338|413|456|525|598|639|646],21,1935,Leo
0 , 34,MST V1,[0|1|326|412|67|5|184|406|351|57|199|499|315|94|107|17|698|377|20|112|467|239|660|26|313|30|458|127|120|110|434|37|263|39|40|150|266|350|436|48|49|51|54|55|56|541|189|366|70|685|452|76|171|342|80|172|89|495|97|579|179|215|378|207|472|565|505|226|612|121|124|489|267|139|140|155|392|474|411|680|161|334|176|173|287|357|178|367|192|195|197|203|507|270|336|554|237|257|353|260|262|265|498|306|309|316|318|323|329|335|337|346|359|362|409|548|615|413|414|432|446|448|455|462|469|475|487|504|510|514|564|582|641|646|650|653|663|677|681|699],14,1796,Leo
- , 35,MST V1,[31|522|99|241|629],36,8142,Leo
B , 36,MST V1,[84|130|703|143|619|221|308|682|400|799],37,6214,Leo
